CODE	ALT_CODE	USAGE	USAGE_UK	DESCRIPTION	MODIFIER_4	MODIFIER_5	QUALIFIERS	GENDER_MASK	MIN_AGE	MAX_AGE	TREE_DESCRIPTION
A06.0	A060	DEFAULT	3	Acute amoebic dysentery							
A06.1	A061	DEFAULT	3	Chronic intestinal amoebiasis							
A06.2	A062	DEFAULT	3	Amoebic nondysenteric colitis							
A06.3	A063	DEFAULT	3	Amoeboma of intestine							
A06.4	A064	DEFAULT	3	Amoebic liver abscess							
A06.5	A065	DAGGER	1	Amoebic lung abscess			J99.8				
A06.6	A066	DAGGER	1	Amoebic brain abscess			G07				
A06.7	A067	DEFAULT	3	Cutaneous amoebiasis							
A06.8	A068	DEFAULT	3	Amoebic infection of other sites							
A06.9	A069	DEFAULT	3	Amoebiasis, unspecified							
A07	A07	DEFAULT	3	Other protozoal intestinal diseases							
A07.0	A070	DEFAULT	3	Balantidiasis							
A07.1	A071	DEFAULT	3	Giardiasis [lambliasis]							
A07.2	A072	DEFAULT	3	Cryptosporidiosis							
A07.3	A073	DEFAULT	3	Isosporiasis							
A07.8	A078	DEFAULT	3	Other specified protozoal intestinal diseases							
A07.9	A079	DEFAULT	3	Protozoal intestinal disease, unspecified							
A08	A08	DEFAULT	3	Viral and other specified intestinal infections							
A08.0	A080	DEFAULT	3	Rotaviral enteritis							
A08.1	A081	DEFAULT	3	Acute gastroenteropathy due to Norwalk agent							
A08.2	A082	DEFAULT	3	Adenoviral enteritis							
A08.3	A083	DEFAULT	3	Other viral enteritis							
A08.4	A084	DEFAULT	3	Viral intestinal infection, unspecified							
A08.5	A085	DEFAULT	3	Other specified intestinal infections							
A09	A09	DEFAULT	3	Other gastroenteritis and colitis of infectious and unspecified origin							
A09.0	A090	DEFAULT	3	Other and unspecified gastroenteritis and colitis of infectious origin							
A09.9	A099	DEFAULT	3	Gastroenteritis and colitis of unspecified origin							
A15	A15	DEFAULT	3	Respiratory tuberculosis, bacteriologically and histologically confirmed							
A15.0	A150	DEFAULT	3	Tuberculosis of lung, confirmed by sputum microscopy with or without culture							
A15.1	A151	DEFAULT	3	Tuberculosis of lung, confirmed by culture only							
A15.2	A152	DEFAULT	3	Tuberculosis of lung, confirmed histologically							
A15.3	A153	DEFAULT	3	Tuberculosis of lung, confirmed by unspecified means							
A15.4	A154	DEFAULT	3	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically							
A15.5	A155	DEFAULT	3	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically							
A15.6	A156	DEFAULT	3	Tuberculous pleurisy, confirmed bacteriologically and histologically							
A15.7	A157	DEFAULT	3	Primary respiratory tuberculosis, confirmed bacteriologically and histologically							
A15.8	A158	DEFAULT	3	Other respiratory tuberculosis, confirmed bacteriologically and histologically							
A15.9	A159	DEFAULT	3	Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically							
A16	A16	DEFAULT	3	Respiratory tuberculosis, not confirmed bacteriologically or histologically							
A16.0	A160	DEFAULT	3	Tuberculosis of lung, bacteriologically and histologically negative							
A16.1	A161	DEFAULT	3	Tuberculosis of lung, bacteriological and histological examination not done							
A16.2	A162	DEFAULT	3	Tuberculosis of lung, without mention of bacteriological or histological confirmation							
A16.3	A163	DEFAULT	3	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation							
A16.4	A164	DEFAULT	3	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation							
A16.5	A165	DEFAULT	3	Tuberculous pleurisy, without mention of bacteriological or histological confirmation							
A16.7	A167	DEFAULT	3	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation							
A16.8	A168	DEFAULT	3	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation							
A16.9	A169	DEFAULT	3	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation							
A17	A17	DAGGER	4	Tuberculosis of nervous system							
A17.0	A170	DAGGER	1	Tuberculous meningitis			G01				
A17.1	A171	DAGGER	1	Meningeal tuberculoma			G07				
A17.8	A178	DAGGER	4	Other tuberculosis of nervous system							
A17.9	A179	DAGGER	1	Tuberculosis of nervous system, unspecified			G99.8				
A18	A18	DEFAULT	3	Tuberculosis of other organs							
A18.0	A180	DAGGER	4	Tuberculosis of bones and joints							
A18.1	A181	DEFAULT	3	Tuberculosis of genitourinary system							
A18.2	A182	DEFAULT	3	Tuberculous peripheral lymphadenopathy							
A18.3	A183	DEFAULT	3	Tuberculosis of intestines, peritoneum and mesenteric glands							
A18.4	A184	DEFAULT	3	Tuberculosis of skin and subcutaneous tissue							
A18.5	A185	DEFAULT	3	Tuberculosis of eye							
A18.6	A186	DEFAULT	3	Tuberculosis of ear							
A18.7	A187	DAGGER	1	Tuberculosis of adrenal glands			E35.1				
A18.8	A188	DEFAULT	3	Tuberculosis of other specified organs							
A19	A19	DEFAULT	3	Miliary tuberculosis							
A19.0	A190	DEFAULT	3	Acute miliary tuberculosis of a single specified site							
A19.1	A191	DEFAULT	3	Acute miliary tuberculosis of multiple sites							
A19.2	A192	DEFAULT	3	Acute miliary tuberculosis, unspecified							
A19.8	A198	DEFAULT	3	Other miliary tuberculosis							
A19.9	A199	DEFAULT	3	Miliary tuberculosis, unspecified							
A20	A20	DEFAULT	3	Plague							
A20.0	A200	DEFAULT	3	Bubonic plague							
A20.1	A201	DEFAULT	3	Cellulocutaneous plague							
A20.2	A202	DEFAULT	3	Pneumonic plague							
A20.3	A203	DEFAULT	3	Plague meningitis							
A20.7	A207	DEFAULT	3	Septicaemic plague							
A20.8	A208	DEFAULT	3	Other forms of plague							
A20.9	A209	DEFAULT	3	Plague, unspecified							
A21	A21	DEFAULT	3	Tularaemia							
A21.0	A210	DEFAULT	3	Ulceroglandular tularaemia							
A21.1	A211	DEFAULT	3	Oculoglandular tularaemia							
A21.2	A212	DEFAULT	3	Pulmonary tularaemia							
A21.3	A213	DEFAULT	3	Gastrointestinal tularaemia							
A21.7	A217	DEFAULT	3	Generalized tularaemia							
A21.8	A218	DEFAULT	3	Other forms of tularaemia							
A21.9	A219	DEFAULT	3	Tularaemia, unspecified							
A22	A22	DEFAULT	3	Anthrax							
A22.0	A220	DEFAULT	3	Cutaneous anthrax							
A22.1	A221	DEFAULT	3	Pulmonary anthrax							
A22.2	A222	DEFAULT	3	Gastrointestinal anthrax							
A22.7	A227	DEFAULT	3	Anthrax sepsis							
A22.8	A228	DEFAULT	3	Other forms of anthrax							
A22.9	A229	DEFAULT	3	Anthrax, unspecified							
A23	A23	DEFAULT	3	Brucellosis							
A23.0	A230	DEFAULT	3	Brucellosis due to Brucella melitensis							
A23.1	A231	DEFAULT	3	Brucellosis due to Brucella abortus							
A23.2	A232	DEFAULT	3	Brucellosis due to Brucella suis							
A23.3	A233	DEFAULT	3	Brucellosis due to Brucella canis							
A23.8	A238	DEFAULT	3	Other brucellosis							
A23.9	A239	DEFAULT	3	Brucellosis, unspecified							
A24	A24	DEFAULT	3	Glanders and melioidosis							
A24.0	A240	DEFAULT	3	Glanders							
A24.1	A241	DEFAULT	3	Acute and fulminating melioidosis							
A24.2	A242	DEFAULT	3	Subacute and chronic melioidosis							
A24.3	A243	DEFAULT	3	Other melioidosis							
A24.4	A244	DEFAULT	3	Melioidosis, unspecified							
A25	A25	DEFAULT	3	Rat-bite fevers							
A25.0	A250	DEFAULT	3	Spirillosis							
A25.1	A251	DEFAULT	3	Streptobacillosis							
A25.9	A259	DEFAULT	3	Rat-bite fever, unspecified							
A26	A26	DEFAULT	3	Erysipeloid							
A26.0	A260	DEFAULT	3	Cutaneous erysipeloid							
A26.7	A267	DEFAULT	3	Erysipelothrix sepsis							
A26.8	A268	DEFAULT	3	Other forms of erysipeloid							
A26.9	A269	DEFAULT	3	Erysipeloid, unspecified							
A27	A27	DEFAULT	3	Leptospirosis							
A27.0	A270	DEFAULT	3	Leptospirosis icterohaemorrhagica							
A27.8	A278	DEFAULT	3	Other forms of leptospirosis							
A27.9	A279	DEFAULT	3	Leptospirosis, unspecified							
A28	A28	DEFAULT	3	Other zoonotic bacterial diseases, not elsewhere classified							
A28.0	A280	DEFAULT	3	Pasteurellosis							
A28.1	A281	DEFAULT	3	Cat-scratch disease							
A28.2	A282	DEFAULT	3	Extraintestinal yersiniosis							
A28.8	A288	DEFAULT	3	Other specified zoonotic bacterial diseases, not elsewhere classified							
A28.9	A289	DEFAULT	3	Zoonotic bacterial disease, unspecified							
A30	A30	DEFAULT	3	Leprosy [Hansen's disease]							
A30.0	A300	DEFAULT	3	Indeterminate leprosy							
A30.1	A301	DEFAULT	3	Tuberculoid leprosy							
A30.2	A302	DEFAULT	3	Borderline tuberculoid leprosy							
A30.3	A303	DEFAULT	3	Borderline leprosy							
A30.4	A304	DEFAULT	3	Borderline lepromatous leprosy							
A30.5	A305	DEFAULT	3	Lepromatous leprosy							
A30.8	A308	DEFAULT	3	Other forms of leprosy							
A30.9	A309	DEFAULT	3	Leprosy, unspecified							
A31	A31	DEFAULT	3	Infection due to other mycobacteria							
A31.0	A310	DEFAULT	3	Pulmonary mycobacterial infection							
A31.1	A311	DEFAULT	3	Cutaneous mycobacterial infection							
A31.8	A318	DEFAULT	3	Other mycobacterial infections							
A31.9	A319	DEFAULT	3	Mycobacterial infection, unspecified							
A32	A32	DEFAULT	3	Listeriosis							
A32.0	A320	DEFAULT	3	Cutaneous listeriosis							
A32.1	A321	DAGGER	4	Listerial meningitis and meningoencephalitis							
A32.7	A327	DEFAULT	3	Listerial sepsis							
A32.8	A328	DEFAULT	3	Other forms of listeriosis							
A32.9	A329	DEFAULT	3	Listeriosis, unspecified							
A33	A33X	DEFAULT	3	Tetanus neonatorum						1	
A34	A34X	DEFAULT	3	Obstetrical tetanus				1	15	45	
A35	A35X	DEFAULT	3	Other tetanus							
A36	A36	DEFAULT	3	Diphtheria							
A36.0	A360	DEFAULT	3	Pharyngeal diphtheria							
A36.1	A361	DEFAULT	3	Nasopharyngeal diphtheria							
A36.2	A362	DEFAULT	3	Laryngeal diphtheria							
A36.3	A363	DEFAULT	3	Cutaneous diphtheria							
A36.8	A368	DEFAULT	3	Other diphtheria							
A36.9	A369	DEFAULT	3	Diphtheria, unspecified							
A37	A37	DEFAULT	3	Whooping cough							
A37.0	A370	DEFAULT	3	Whooping cough due to Bordetella pertussis							
A37.1	A371	DEFAULT	3	Whooping cough due to Bordetella parapertussis							
A37.8	A378	DEFAULT	3	Whooping cough due to other Bordetella species							
A37.9	A379	DEFAULT	3	Whooping cough, unspecified							
A38	A38X	DEFAULT	3	Scarlet fever							
A39	A39	DEFAULT	3	Meningococcal infection							
A39.0	A390	DAGGER	1	Meningococcal meningitis			G01				
A39.1	A391	DAGGER	1	Waterhouse-Friderichsen syndrome			E35.1				
A39.2	A392	DEFAULT	3	Acute meningococcaemia							
A39.3	A393	DEFAULT	3	Chronic meningococcaemia							
A39.4	A394	DEFAULT	3	Meningococcaemia, unspecified							
A39.5	A395	DAGGER	4	Meningococcal heart disease							
A39.8	A398	DEFAULT	3	Other meningococcal infections							
A39.9	A399	DEFAULT	3	Meningococcal infection, unspecified							
A40	A40	DEFAULT	3	Streptococcal sepsis							
A40.0	A400	DEFAULT	3	Sepsis due to streptococcus, group A							
A40.1	A401	DEFAULT	3	Sepsis due to streptococcus, group B							
A40.2	A402	DEFAULT	3	Sepsis due to streptococcus, group D							
A40.3	A403	DEFAULT	3	Sepsis due to Streptococcus pneumoniae							
A40.8	A408	DEFAULT	3	Other streptococcal sepsis							
A40.9	A409	DEFAULT	3	Streptococcal sepsis, unspecified							
A41	A41	DEFAULT	3	Other sepsis							
A41.0	A410	DEFAULT	3	Sepsis due to Staphylococcus aureus							
A41.1	A411	DEFAULT	3	Sepsis due to other specified staphylococcus							
A41.2	A412	DEFAULT	3	Sepsis due to unspecified staphylococcus							
A41.3	A413	DEFAULT	3	Sepsis due to Haemophilus influenzae							
A41.4	A414	DEFAULT	3	Sepsis due to anaerobes							
A41.5	A415	DEFAULT	3	Sepsis due to other Gram-negative organisms							
A41.8	A418	DEFAULT	3	Other specified sepsis							
A41.9	A419	DEFAULT	3	Sepsis, unspecified							
A42	A42	DEFAULT	3	Actinomycosis							
A42.0	A420	DEFAULT	3	Pulmonary actinomycosis							
A42.1	A421	DEFAULT	3	Abdominal actinomycosis							
A42.2	A422	DEFAULT	3	Cervicofacial actinomycosis							
A42.7	A427	DEFAULT	3	Actinomycotic sepsis							
A42.8	A428	DEFAULT	3	Other forms of actinomycosis							
A42.9	A429	DEFAULT	3	Actinomycosis, unspecified							
A43	A43	DEFAULT	3	Nocardiosis							
A43.0	A430	DEFAULT	3	Pulmonary nocardiosis							
A43.1	A431	DEFAULT	3	Cutaneous nocardiosis							
A43.8	A438	DEFAULT	3	Other forms of nocardiosis							
A43.9	A439	DEFAULT	3	Nocardiosis, unspecified							
A44	A44	DEFAULT	3	Bartonellosis							
A44.0	A440	DEFAULT	3	Systemic bartonellosis							
A44.1	A441	DEFAULT	3	Cutaneous and mucocutaneous bartonellosis							
A44.8	A448	DEFAULT	3	Other forms of bartonellosis							
A44.9	A449	DEFAULT	3	Bartonellosis, unspecified							
A46	A46X	DEFAULT	3	Erysipelas							
A48	A48	DEFAULT	3	Other bacterial diseases, not elsewhere classified							
A48.0	A480	DEFAULT	3	Gas gangrene							
A48.1	A481	DEFAULT	3	Legionnaires' disease							
A48.2	A482	DEFAULT	3	Nonpneumonic Legionnaires' disease [Pontiac fever]							
A48.3	A483	DEFAULT	3	Toxic shock syndrome							
A48.4	A484	DEFAULT	3	Brazilian purpuric fever							
A48.8	A488	DEFAULT	3	Other specified bacterial diseases							
A49	A49	DEFAULT	3	Bacterial infection of unspecified site							
A49.0	A490	DEFAULT	3	Staphylococcal infection, unspecified site							
A49.1	A491	DEFAULT	3	Streptococcal infection, unspecified site							
A49.2	A492	DEFAULT	3	Haemophilus influenzae infection, unspecified site							
A49.3	A493	DEFAULT	3	Mycoplasma infection, unspecified site							
A49.8	A498	DEFAULT	3	Other bacterial infections of unspecified site							
A49.9	A499	DEFAULT	3	Bacterial infection, unspecified							
A50	A50	DEFAULT	3	Congenital syphilis							
A50.0	A500	DEFAULT	3	Early congenital syphilis, symptomatic							
A50.1	A501	DEFAULT	3	Early congenital syphilis, latent						2	
A50.2	A502	DEFAULT	3	Early congenital syphilis, unspecified						2	
A50.3	A503	DEFAULT	3	Late congenital syphilitic oculopathy					2		
A50.4	A504	DEFAULT	3	Late congenital neurosyphilis [juvenile neurosyphilis]					2		
A50.5	A505	DEFAULT	3	Other late congenital syphilis, symptomatic					2		
A50.6	A506	DEFAULT	3	Late congenital syphilis, latent					2		
A50.7	A507	DEFAULT	3	Late congenital syphilis, unspecified					2		
A50.9	A509	DEFAULT	3	Congenital syphilis, unspecified							
A51	A51	DEFAULT	3	Early syphilis							
A51.0	A510	DEFAULT	3	Primary genital syphilis							
A51.1	A511	DEFAULT	3	Primary anal syphilis							
A51.2	A512	DEFAULT	3	Primary syphilis of other sites							
A51.3	A513	DEFAULT	3	Secondary syphilis of skin and mucous membranes							
A51.4	A514	DEFAULT	3	Other secondary syphilis							
A51.5	A515	DEFAULT	3	Early syphilis, latent							
A51.9	A519	DEFAULT	3	Early syphilis, unspecified							
A52	A52	DEFAULT	3	Late syphilis							
A52.0	A520	DAGGER	4	Cardiovascular syphilis							
A52.1	A521	DEFAULT	3	Symptomatic neurosyphilis							
A52.2	A522	DEFAULT	3	Asymptomatic neurosyphilis							
A52.3	A523	DEFAULT	3	Neurosyphilis, unspecified							
A52.7	A527	DEFAULT	3	Other symptomatic late syphilis							
A52.8	A528	DEFAULT	3	Late syphilis, latent					2		
A52.9	A529	DEFAULT	3	Late syphilis, unspecified							
A53	A53	DEFAULT	3	Other and unspecified syphilis							
A53.0	A530	DEFAULT	3	Latent syphilis, unspecified as early or late							
A53.9	A539	DEFAULT	3	Syphilis, unspecified							
A54	A54	DEFAULT	3	Gonococcal infection							
A54.0	A540	DEFAULT	3	Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess							
A54.1	A541	DEFAULT	3	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess							
A54.2	A542	DEFAULT	3	Gonococcal pelviperitonitis and other gonococcal genitourinary infections							
A54.3	A543	DEFAULT	3	Gonococcal infection of eye							
A54.4	A544	DAGGER	4	Gonococcal infection of musculoskeletal system							
A54.5	A545	DEFAULT	3	Gonococcal pharyngitis							
A54.6	A546	DEFAULT	3	Gonococcal infection of anus and rectum							
A54.8	A548	DEFAULT	3	Other gonococcal infections							
A54.9	A549	DEFAULT	3	Gonococcal infection, unspecified							
A55	A55X	DEFAULT	3	Chlamydial lymphogranuloma (venereum)							
A56	A56	DEFAULT	3	Other sexually transmitted chlamydial diseases							
A56.0	A560	DEFAULT	3	Chlamydial infection of lower genitourinary tract							
A56.1	A561	DEFAULT	3	Chlamydial infection of pelviperitoneum and other genitourinary organs							
A56.2	A562	DEFAULT	3	Chlamydial infection of genitourinary tract, unspecified							
A56.3	A563	DEFAULT	3	Chlamydial infection of anus and rectum							
A56.4	A564	DEFAULT	3	Chlamydial infection of pharynx							
A56.8	A568	DEFAULT	3	Sexually transmitted chlamydial infection of other sites							
A57	A57X	DEFAULT	3	Chancroid							
A58	A58X	DEFAULT	3	Granuloma inguinale							
A59	A59	DEFAULT	3	Trichomoniasis							
A59.0	A590	DEFAULT	3	Urogenital trichomoniasis							
A59.8	A598	DEFAULT	3	Trichomoniasis of other sites							
A59.9	A599	DEFAULT	3	Trichomoniasis, unspecified							
A60	A60	DEFAULT	3	Anogenital herpesviral [herpes simplex] infection							
A60.0	A600	DEFAULT	3	Herpesviral infection of genitalia and urogenital tract							
A60.1	A601	DEFAULT	3	Herpesviral infection of perianal skin and rectum							
A60.9	A609	DEFAULT	3	Anogenital herpesviral infection, unspecified							
A63	A63	DEFAULT	3	Other predominantly sexually transmitted diseases, not elsewhere classified							
A63.0	A630	DEFAULT	3	Anogenital (venereal) warts							
A63.8	A638	DEFAULT	3	Other specified predominantly sexually transmitted diseases							
A64	A64X	DEFAULT	3	Unspecified sexually transmitted disease							
A65	A65X	DEFAULT	3	Nonvenereal syphilis							
A66	A66	DEFAULT	3	Yaws							
A66.0	A660	DEFAULT	3	Initial lesions of yaws							
A66.1	A661	DEFAULT	3	Multiple papillomata and wet crab yaws							
A66.2	A662	DEFAULT	3	Other early skin lesions of yaws							
A66.3	A663	DEFAULT	3	Hyperkeratosis of yaws							
A66.4	A664	DEFAULT	3	Gummata and ulcers of yaws							
A66.5	A665	DEFAULT	3	Gangosa							
A66.6	A666	DEFAULT	3	Bone and joint lesions of yaws							
A66.7	A667	DEFAULT	3	Other manifestations of yaws							
A66.8	A668	DEFAULT	3	Latent yaws							
A66.9	A669	DEFAULT	3	Yaws, unspecified							
A67	A67	DEFAULT	3	Pinta [carate]							
A67.0	A670	DEFAULT	3	Primary lesions of pinta							
A67.1	A671	DEFAULT	3	Intermediate lesions of pinta							
A67.2	A672	DEFAULT	3	Late lesions of pinta							
A67.3	A673	DEFAULT	3	Mixed lesions of pinta							
A67.9	A679	DEFAULT	3	Pinta, unspecified							
A68	A68	DEFAULT	3	Relapsing fevers							
A68.0	A680	DEFAULT	3	Louse-borne relapsing fever							
A68.1	A681	DEFAULT	3	Tick-borne relapsing fever							
A68.9	A689	DEFAULT	3	Relapsing fever, unspecified							
A69	A69	DEFAULT	3	Other spirochaetal infections							
A69.0	A690	DEFAULT	3	Necrotizing ulcerative stomatitis							
A69.1	A691	DEFAULT	3	Other Vincent's infections							
A69.2	A692	DEFAULT	3	Lyme disease							
A69.8	A698	DEFAULT	3	Other specified spirochaetal infections							
A69.9	A699	DEFAULT	3	Spirochaetal infection, unspecified							
A70	A70X	DEFAULT	3	Chlamydia psittaci infection							
A71	A71	DEFAULT	3	Trachoma							
A71.0	A710	DEFAULT	3	Initial stage of trachoma							
A71.1	A711	DEFAULT	3	Active stage of trachoma							
A71.9	A719	DEFAULT	3	Trachoma, unspecified							
A74	A74	DEFAULT	3	Other diseases caused by chlamydiae							
A74.0	A740	DAGGER	1	Chlamydial conjunctivitis			H13.1				
A74.8	A748	DEFAULT	3	Other chlamydial diseases							
A74.9	A749	DEFAULT	3	Chlamydial infection, unspecified							
A75	A75	DEFAULT	3	Typhus fever							
A75.0	A750	DEFAULT	3	Epidemic louse-borne typhus fever due to Rickettsia prowazekii							
A75.1	A751	DEFAULT	3	Recrudescent typhus [Brill's disease]							
A75.2	A752	DEFAULT	3	Typhus fever due to Rickettsia typhi							
A75.3	A753	DEFAULT	3	Typhus fever due to Rickettsia tsutsugamushi							
A75.9	A759	DEFAULT	3	Typhus fever, unspecified							
A77	A77	DEFAULT	3	Spotted fever [tick-borne rickettsioses]							
A77.0	A770	DEFAULT	3	Spotted fever due to Rickettsia rickettsii							
A77.1	A771	DEFAULT	3	Spotted fever due to Rickettsia conorii							
A77.2	A772	DEFAULT	3	Spotted fever due to Rickettsia sibirica							
A77.3	A773	DEFAULT	3	Spotted fever due to Rickettsia australis							
A77.8	A778	DEFAULT	3	Other spotted fevers							
A77.9	A779	DEFAULT	3	Spotted fever, unspecified							
A78	A78X	DEFAULT	3	Q fever							
A79	A79	DEFAULT	3	Other rickettsioses							
A79.0	A790	DEFAULT	3	Trench fever							
A79.1	A791	DEFAULT	3	Rickettsialpox due to Rickettsia akari							
A79.8	A798	DEFAULT	3	Other specified rickettsioses							
A79.9	A799	DEFAULT	3	Rickettsiosis, unspecified							
A80	A80	DEFAULT	3	Acute poliomyelitis							
A80.0	A800	DEFAULT	3	Acute paralytic poliomyelitis, vaccine-associated							
A80.1	A801	DEFAULT	3	Acute paralytic poliomyelitis, wild virus, imported							
A80.2	A802	DEFAULT	3	Acute paralytic poliomyelitis, wild virus, indigenous							
A80.3	A803	DEFAULT	3	Acute paralytic poliomyelitis, other and unspecified							
A80.4	A804	DEFAULT	3	Acute nonparalytic poliomyelitis							
A80.9	A809	DEFAULT	3	Acute poliomyelitis, unspecified							
A81	A81	DEFAULT	3	Atypical virus infections of central nervous system							
A81.0	A810	DEFAULT	3	Creutzfeldt-Jakob disease							
A81.1	A811	DEFAULT	3	Subacute sclerosing panencephalitis							
A81.2	A812	DEFAULT	3	Progressive multifocal leukoencephalopathy							
A81.8	A818	DEFAULT	3	Other atypical virus infections of central nervous system							
A81.9	A819	DEFAULT	3	Atypical virus infection of central nervous system, unspecified							
A82	A82	DEFAULT	3	Rabies							
A82.0	A820	DEFAULT	3	Sylvatic rabies							
A82.1	A821	DEFAULT	3	Urban rabies							
A82.9	A829	DEFAULT	3	Rabies, unspecified							
A83	A83	DEFAULT	3	Mosquito-borne viral encephalitis							
A83.0	A830	DEFAULT	3	Japanese encephalitis							
A83.1	A831	DEFAULT	3	Western equine encephalitis							
A83.2	A832	DEFAULT	3	Eastern equine encephalitis							
A83.3	A833	DEFAULT	3	St Louis encephalitis							
A83.4	A834	DEFAULT	3	Australian encephalitis							
A83.5	A835	DEFAULT	3	California encephalitis							
A83.6	A836	DEFAULT	3	Rocio virus disease							
A83.8	A838	DEFAULT	3	Other mosquito-borne viral encephalitis							
A83.9	A839	DEFAULT	3	Mosquito-borne viral encephalitis, unspecified							
A84	A84	DEFAULT	3	Tick-borne viral encephalitis							
A84.0	A840	DEFAULT	3	Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]							
A84.1	A841	DEFAULT	3	Central European tick-borne encephalitis							
A84.8	A848	DEFAULT	3	Other tick-borne viral encephalitis							
A84.9	A849	DEFAULT	3	Tick-borne viral encephalitis, unspecified							
A85	A85	DEFAULT	3	Other viral encephalitis, not elsewhere classified							
A85.0	A850	DAGGER	1	Enteroviral encephalitis			G05.1				
A85.1	A851	DAGGER	1	Adenoviral encephalitis			G05.1				
A85.2	A852	DEFAULT	3	Arthropod-borne viral encephalitis, unspecified							
A85.8	A858	DEFAULT	3	Other specified viral encephalitis							
A86	A86X	DEFAULT	3	Unspecified viral encephalitis							
A87	A87	DEFAULT	3	Viral meningitis							
A87.0	A870	DAGGER	1	Enteroviral meningitis			G02.0				
A87.1	A871	DAGGER	1	Adenoviral meningitis			G02.0				
A87.2	A872	DEFAULT	3	Lymphocytic choriomeningitis							
A87.8	A878	DEFAULT	3	Other viral meningitis							
A87.9	A879	DEFAULT	3	Viral meningitis, unspecified							
A88	A88	DEFAULT	3	Other viral infections of central nervous system, not elsewhere classified							
A88.0	A880	DEFAULT	3	Enteroviral exanthematous fever [Boston exanthem]							
A88.1	A881	DEFAULT	3	Epidemic vertigo							
A88.8	A888	DEFAULT	3	Other specified viral infections of central nervous system							
A89	A89X	DEFAULT	3	Unspecified viral infection of central nervous system							
A90	A90X	DEFAULT	3	Dengue fever [classical dengue]							
